Size,Execution Time
2,0.000000
4,0.000000
6,0.000000
8,0.000000
10,0.000000
12,0.000000
14,0.000000
16,0.000000
18,0.000000
20,0.000000
22,0.000000
24,0.000000
26,0.000000
28,0.000000
30,0.000000
32,0.000000
34,0.000000
36,0.000000
38,0.000000
40,0.000000
42,0.001000
44,0.000000
46,0.000000
48,0.000000
50,0.001000
52,0.000000
54,0.000000
56,0.001000
58,0.001000
60,0.000000
62,0.001000
64,0.001000
66,0.001000
68,0.001000
70,0.001000
72,0.002000
74,0.002000
76,0.002000
78,0.002000
80,0.002000
82,0.002000
84,0.002000
86,0.002000
88,0.002000
90,0.002000
92,0.002000
94,0.003000
96,0.002000
98,0.004000
100,0.004000
102,0.003000
104,0.003000
106,0.004000
108,0.003000
110,0.007000
112,0.005000
114,0.008000
116,0.008000
118,0.007000
120,0.010000
122,0.008000
124,0.011000
126,0.011000
128,0.013000
130,0.011000
132,0.013000
134,0.012000
136,0.009000
138,0.010000
140,0.008000
142,0.011000
144,0.010000
146,0.016000
148,0.021000
150,0.020000
152,0.019000
154,0.015000
156,0.019000
158,0.021000
160,0.030000
162,0.023000
164,0.015000
166,0.015000
168,0.015000
170,0.021000
172,0.033000
174,0.032000
176,0.027000
178,0.023000
180,0.038000
182,0.034000
184,0.024000
186,0.032000
188,0.024000
190,0.033000
192,0.037000
194,0.037000
196,0.034000
198,0.027000
200,0.028000
202,0.036000
204,0.027000
206,0.032000
208,0.065000
210,0.033000
212,0.036000
214,0.034000
216,0.036000
218,0.036000
220,0.037000
222,0.061000
224,0.043000
226,0.047000
228,0.036000
230,0.039000
232,0.049000
234,0.045000
236,0.045000
238,0.057000
240,0.055000
242,0.047000
244,0.048000
246,0.060000
248,0.049000
250,0.063000
252,0.050000
254,0.056000
256,0.062000
258,0.056000
260,0.058000
262,0.062000
264,0.057000
266,0.064000
268,0.059000
270,0.068000
272,0.063000
274,0.084000
276,0.078000
278,0.067000
280,0.069000
282,0.080000
284,0.079000
286,0.077000
288,0.072000
290,0.079000
292,0.098000
294,0.083000
296,0.088000
298,0.082000
300,0.084000
302,0.091000
304,0.095000
306,0.105000
308,0.098000
310,0.109000
312,0.103000
314,0.133000
316,0.139000
318,0.158000
320,0.149000
322,0.199000
324,0.212000
326,0.173000
328,0.162000
330,0.166000
332,0.166000
334,0.140000
336,0.196000
338,0.142000
340,0.219000
342,0.173000
344,0.176000
346,0.242000
348,0.217000
350,0.162000
352,0.227000
354,0.178000
356,0.216000
358,0.229000
360,0.248000
362,0.236000
364,0.258000
366,0.237000
368,0.207000
370,0.253000
372,0.220000
374,0.239000
376,0.230000
378,0.307000
380,0.204000
382,0.283000
384,0.304000
386,0.312000
388,0.221000
390,0.327000
392,0.237000
394,0.267000
396,0.332000
398,0.297000
400,0.285000
402,0.311000
404,0.344000
406,0.342000
408,0.280000
410,0.303000
412,0.381000
414,0.384000
416,0.371000
418,0.389000
420,0.320000
422,0.376000
424,0.407000
426,0.370000
428,0.294000
430,0.336000
432,0.364000
434,0.357000
436,0.379000
438,0.415000
440,0.365000
442,0.369000
444,0.461000
446,0.417000
448,0.401000
450,0.458000
452,0.434000
454,0.470000
456,0.509000
458,0.487000
460,0.439000
462,0.480000
464,0.441000
466,0.512000
468,0.663000
470,0.487000
472,0.778000
474,0.517000
476,0.481000
478,0.564000
480,0.539000
482,0.513000
484,0.693000
486,0.799000
488,0.721000
490,0.800000
492,0.641000
494,0.654000
496,0.638000
498,0.564000
500,0.820000
